['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T095031_57_46'],"['Non-irrigated arable land', 'Pastures', 'Coniferous forest']","[2, 7, 1]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94031_47_39'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180506T100031_50_66'],"['Discontinuous urban fabric', 'Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest']","[10, 7, 5, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171112T114339_23_4'],"['Non-irrigated arable land', 'Pastures', 'Peatbogs']","[2, 7, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180430T094031_64_32'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[2, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170717T113321_78_23'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T093019_78_47'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[5, 4, 1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T95032_76_2'],"['Discontinuous urban fabric', 'Industrial or commercial units', 'Sport and leisure facilities', 'Non-irrigated arable land', 'Coniferous forest', 'Mixed forest']","[10, 14, 24, 2, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170814T100029_25_32'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180522T093029_45_4'],"['Coniferous forest', 'Water bodies']","[1, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180417T102019_67_5'],"['Coniferous forest', 'Transitional woodland/shrub', 'Peatbogs']","[1, 3, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T095031_67_76'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest']","[10, 2, 7, 5, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112110_84_70'],"['Non-irrigated arable land', 'Permanently irrigated land', 'Olive groves', 'Agro-forestry areas']","[2, 13, 16, 11]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_3_25'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest']","[6, 5, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170803T094031_72_83'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T094019_18_18'],"['Non-irrigated arable land', 'Broad-leaved forest']","[2, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93020_55_43'],"['Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub', 'Inland marshes', 'Water bodies']","[7, 6, 5, 4, 3, 22, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T093029_17_43'],['Non-irrigated arable land'],[2]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170701T093031_20_82'],"['Mixed forest', 'Water bodies']","[0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94031_38_29'],"['Coniferous forest', 'Water bodies']","[1, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94030_17_75'],['Coniferous forest'],[1]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_36_75'],"['Industrial or commercial units', 'Non-irrigated arable land', 'Rice fields', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Agro-forestry areas', 'Mixed forest', 'Transitional woodland/shrub']","[14, 2, 27, 5, 11, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180326T112109_34_86'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170720T100031_70_3'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180508T104032_4_67'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[10, 2, 7, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93020_52_13'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[5, 4, 1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171208T093351_1_39'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171121T112351_7_21'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest', 'Sclerophyllous vegetation']","[6, 5, 0, 17]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T094031_64_80'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[2, 6, 5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170825T093029_21_58'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[2, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171121T112351_13_37'],"['Annual crops associated with permanent crops', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[21, 5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T093019_1_18'],"['Coniferous forest', 'Transitional woodland/shrub']","[1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180220T114339_29_35'],"['Pastures', 'Mixed forest']","[7, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170817T101019_14_76'],"['Coniferous forest', 'Transitional woodland/shrub', 'Sea and ocean']","[1, 3, 9]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T95032_50_17'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest', 'Water bodies']","[10, 2, 5, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T094159_56_29'],"['Non-irrigated arable land', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest']","[2, 4, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170906T101019_68_72'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170704T112111_67_6'],"['Moors and heathland', 'Transitional woodland/shrub']","[23, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T94132_74_38'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T093019_66_56'],['Pastures'],[7]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_79_5'],"['Discontinuous urban fabric', 'Industrial or commercial units', 'Non-irrigated arable land', 'Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[10, 14, 2, 7, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94160_9_15'],"['Non-irrigated arable land', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest']","[2, 4, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T93030_14_23'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Vineyards', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[10, 2, 20, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T094131_49_49'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112111_36_28'],"['Pastures', 'Agro-forestry areas', 'Broad-leaved forest', 'Mixed forest']","[7, 11, 4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112109_49_18'],['Continuous urban fabric'],[18]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170906T101020_87_73'],"['Coniferous forest', 'Mixed forest', 'Peatbogs', 'Water bodies']","[1, 0, 12, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180511T100029_82_85'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170617T113321_69_81'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170813T112121_88_31'],"['Non-irrigated arable land', 'Permanently irrigated land', 'Olive groves']","[2, 13, 16]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180506T100031_73_87'],"['Industrial or commercial units', 'Mineral extraction sites', 'Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Transitional woodland/shrub']","[14, 26, 2, 6, 5, 1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T95032_18_47'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101031_59_6'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170802T092029_14_34'],"['Pastures', 'Broad-leaved forest', 'Transitional woodland/shrub']","[7, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T094019_53_13'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Mixed forest']","[2, 5, 4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112110_13_83'],"['Permanently irrigated land', 'Agro-forestry areas', 'Broad-leaved forest', 'Mixed forest', 'Natural grassland']","[13, 11, 4, 0, 15]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171016T101009_41_78'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170704T112111_56_85'],"['Permanently irrigated land', 'Pastures', 'Agro-forestry areas', 'Broad-leaved forest', 'Transitional woodland/shrub']","[13, 7, 11, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T094131_87_42'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180509T101031_80_82'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180529T115401_87_46'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180326T112109_64_26'],"['Pastures', 'Agro-forestry areas', 'Transitional woodland/shrub']","[7, 11, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T093019_21_27'],"['Broad-leaved forest', 'Coniferous forest', 'Water bodies']","[4, 1, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170803T094031_85_14'],['Non-irrigated arable land'],[2]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93020_52_24'],"['Complex cultivation patterns', 'Broad-leaved forest']","[6, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170906T101019_63_12'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180228T101021_72_54'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112110_28_26'],"['Discontinuous urban fabric', 'Olive groves', 'Annual crops associated with permanent crops', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[10, 16, 21, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94160_79_70'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T094131_31_16'],"['Broad-leaved forest', 'Mixed forest', 'Water bodies']","[4, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T94020_8_57'],"['Road and rail networks and associated land', 'Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Water bodies']","[28, 2, 7, 6, 5, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180220T114339_36_81'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Pastures']","[10, 2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180205T100211_89_79'],"['Discontinuous urban fabric', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Water bodies']","[10, 5, 1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180205T100211_46_0'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Water bodies']","[2, 5, 1, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180421T100029_19_11'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170701T093031_26_79'],"['Mixed forest', 'Water bodies']","[0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180527T093041_47_74'],"['Broad-leaved forest', 'Water bodies']","[4, 8]"
